state,cred_avg
AK,40
AL,40
AR,44
AZ,43
CA,42
CO,42
CT,43
DC,46
DE,41
FL,42
GA,44
HI,43
IA,23
IL,43
IN,42
KS,44
KY,41
LA,43
MA,45
MD,41
ME,44
MI,40
MN,40
MO,42
MS,42
MT,43
NC,41
ND,51
NE,26
NH,45
NJ,43
NM,43
NV,41
NY,42
OH,43
OK,41
OR,41
PA,43
RI,41
SC,44
SD,44
TN,43
TX,42
UT,43
VA,42
VT,46
WA,42
WI,43
WV,48
WY,37
