axis,value,term,sum,state
car,1,36,5880975,NY
credit_card,1,36,153799300,NY
debt_consolidation,1,36,365202075,NY
educational,0.472925,36,472925,NY
home_improvement,1,36,35069300,NY
house,1,36,2894075,NY
major_purchase,1,36,13969975,NY
medical,1,36,5399200,NY
moving,1,36,7111750,NY
other,1,36,41717475,NY
renewable_energy,0.6076,36,607600,NY
small_business,1,36,7284725,NY
vacation,1,36,3966525,NY
wedding,1,36,2403050,NY
car,1,60,4171650,NY
credit_card,1,60,108775450,NY
debt_consolidation,1,60,255183550,NY
educational,0.3554,60,355400,NY
home_improvement,1,60,24769025,NY
house,1,60,2208400,NY
major_purchase,1,60,9176050,NY
medical,1,60,3838300,NY
moving,1,60,4873600,NY
other,1,60,28857425,NY
renewable_energy,0.445525,60,445525,NY
small_business,1,60,4974400,NY
vacation,1,60,3354500,NY
wedding,1,60,1850675,NY
car,1,36,2351125,OH
credit_card,1,36,62783150,OH
debt_consolidation,1,36,151505625,OH
educational,0.2402,36,240200,OH
home_improvement,1,36,16032475,OH
house,1,36,1139175,OH
major_purchase,1,36,4800025,OH
medical,1,36,2411150,OH
moving,1,36,1073300,OH
other,1,36,11545600,OH
renewable_energy,0.04475,36,44750,OH
small_business,1,36,2665500,OH
vacation,0.940875,36,940875,OH
wedding,0.62245,36,622450,OH
car,1,60,1444950,OH
credit_card,1,60,43050225,OH
debt_consolidation,1,60,103004150,OH
educational,0.06735,60,67350,OH
home_improvement,1,60,11704725,OH
house,0.863825,60,863825,OH
major_purchase,1,60,3238475,OH
medical,1,60,1658725,OH
moving,0.7162,60,716200,OH
other,1,60,8216850,OH
renewable_energy,0.095,60,95000,OH
small_business,1,60,1795700,OH
vacation,0.666025,60,666025,OH
wedding,0.410775,60,410775,OH
car,0.60415,36,604150,OK
credit_card,1,36,17178775,OK
debt_consolidation,1,36,41290500,OK
educational,0.0292,36,29200,OK
home_improvement,1,36,4482900,OK
house,0.28505,36,285050,OK
major_purchase,1,36,1169250,OK
medical,0.778375,36,778375,OK
moving,0.2998,36,299800,OK
other,1,36,2967650,OK
renewable_energy,0.0303,36,30300,OK
small_business,0.72235,36,722350,OK
vacation,0.42545,36,425450,OK
wedding,0.012,36,12000,OK
car,0.26085,60,260850,OK
credit_card,1,60,12036750,OK
debt_consolidation,1,60,28726900,OK
educational,0.02,60,20000,OK
home_improvement,1,60,2674650,OK
house,0.132675,60,132675,OK
major_purchase,0.98985,60,989850,OK
medical,0.97745,60,977450,OK
moving,0.171775,60,171775,OK
other,1,60,1740325,OK
small_business,0.4319,60,431900,OK
vacation,0.286525,60,286525,OK
wedding,0.0814,60,81400,OK
car,0.947325,36,947325,OR
credit_card,1,36,24104375,OR
debt_consolidation,1,36,58146575,OR
educational,0.0288,36,28800,OR
home_improvement,1,36,3942050,OR
house,0.414625,36,414625,OR
major_purchase,1,36,1674425,OR
medical,1,36,1100525,OR
moving,0.37845,36,378450,OR
other,1,36,3524650,OR
renewable_energy,0.0702,36,70200,OR
small_business,1,36,1108350,OR
vacation,0.3959,36,395900,OR
wedding,0.150625,36,150625,OR
car,0.50655,60,506550,OR
credit_card,1,60,16349350,OR
debt_consolidation,1,60,39115800,OR
educational,0.0428,60,42800,OR
home_improvement,1,60,2762900,OR
house,0.175925,60,175925,OR
major_purchase,0.735975,60,735975,OR
medical,0.84495,60,844950,OR
moving,0.424075,60,424075,OR
other,1,60,2543475,OR
renewable_energy,0.043,60,43000,OR
small_business,0.721225,60,721225,OR
vacation,0.197075,60,197075,OR
wedding,0.012,60,12000,OR
car,1,36,3345625,PA
credit_card,1,36,64956025,PA
debt_consolidation,1,36,156880325,PA
educational,0.219275,36,219275,PA
home_improvement,1,36,18839000,PA
house,1,36,1240475,PA
major_purchase,1,36,5553600,PA
medical,1,36,2248750,PA
moving,1,36,1596400,PA
other,1,36,13038400,PA
renewable_energy,0.145,36,145000,PA
small_business,1,36,2525325,PA
vacation,1,36,1428500,PA
wedding,0.9757,36,975700,PA
car,1,60,1960350,PA
credit_card,1,60,44086450,PA
debt_consolidation,1,60,112032825,PA
educational,0.0884,60,88400,PA
home_improvement,1,60,13003400,PA
house,0.987175,60,987175,PA
major_purchase,1,60,3907550,PA
medical,1,60,1550075,PA
moving,0.9707,60,970700,PA
other,1,60,9534025,PA
renewable_energy,0.091625,60,91625,PA
small_business,1,60,1635150,PA
vacation,0.734825,60,734825,PA
wedding,0.62945,60,629450,PA
car,0.2269,36,226900,RI
credit_card,1,36,7319725,RI
debt_consolidation,1,36,21091325,RI
educational,0.01675,36,16750,RI
home_improvement,1,36,1971450,RI
house,0.097125,36,97125,RI
major_purchase,0.48945,36,489450,RI
medical,0.151125,36,151125,RI
moving,0.291925,36,291925,RI
other,1,36,1862375,RI
renewable_energy,0.0307,36,30700,RI
small_business,0.339675,36,339675,RI
vacation,0.06725,36,67250,RI
wedding,0.1105,36,110500,RI
car,0.221775,60,221775,RI
credit_card,1,60,5623000,RI
debt_consolidation,1,60,14728850,RI
educational,0.028,60,28000,RI
home_improvement,1,60,1233200,RI
house,0.071075,60,71075,RI
major_purchase,0.381175,60,381175,RI
medical,0.12255,60,122550,RI
moving,0.0968,60,96800,RI
other,1,60,1129225,RI
renewable_energy,0.012,60,12000,RI
small_business,0.156775,60,156775,RI
vacation,0.08765,60,87650,RI
wedding,0.0902,60,90200,RI
car,0.96765,36,967650,SC
credit_card,1,36,18212925,SC
debt_consolidation,1,36,58181750,SC
educational,0.113,36,113000,SC
home_improvement,1,36,5916550,SC
house,0.369875,36,369875,SC
major_purchase,1,36,2098450,SC
medical,0.7874,36,787400,SC
moving,0.34825,36,348250,SC
other,1,36,3930625,SC
renewable_energy,0.037175,36,37175,SC
small_business,1,36,1004650,SC
vacation,0.221,36,221000,SC
wedding,0.178025,36,178025,SC
car,0.574725,60,574725,SC
credit_card,1,60,12763675,SC
debt_consolidation,1,60,41122050,SC
educational,0.05,60,50000,SC
home_improvement,1,60,4030850,SC
house,0.1757,60,175700,SC
major_purchase,1,60,1416800,SC
medical,0.899425,60,899425,SC
moving,0.379275,60,379275,SC
other,1,60,2583000,SC
renewable_energy,0.04725,60,47250,SC
small_business,0.8496,60,849600,SC
vacation,0.177825,60,177825,SC
wedding,0.0969,60,96900,SC
car,0.0718,36,71800,SD
credit_card,1,36,4067800,SD
debt_consolidation,1,36,10045550,SD
home_improvement,0.62875,36,628750,SD
house,0.05,36,50000,SD
major_purchase,0.179925,36,179925,SD
medical,0.133925,36,133925,SD
moving,0.0051,36,5100,SD
other,0.528175,36,528175,SD
renewable_energy,0.0052,36,5200,SD
small_business,0.089375,36,89375,SD
vacation,0.103975,36,103975,SD
wedding,0.028,36,28000,SD
car,0.080775,60,80775,SD
credit_card,1,60,2735650,SD
debt_consolidation,1,60,5920375,SD
home_improvement,0.5691,60,569100,SD
major_purchase,0.09955,60,99550,SD
medical,0.1588,60,158800,SD
moving,0.052375,60,52375,SD
other,0.319425,60,319425,SD
small_business,0.15975,60,159750,SD
vacation,0.066,60,66000,SD
car,0.938,36,938000,TN
credit_card,1,36,25706800,TN
debt_consolidation,1,36,70562250,TN
educational,0.03535,36,35350,TN
home_improvement,1,36,6315400,TN
house,0.411775,36,411775,TN
major_purchase,1,36,1843375,TN
medical,1,36,1159250,TN
moving,0.423425,36,423425,TN
other,1,36,4177175,TN
renewable_energy,0.0394,36,39400,TN
small_business,0.836925,36,836925,TN
vacation,0.447075,36,447075,TN
wedding,0.0128,36,12800,TN
car,0.560625,60,560625,TN
credit_card,1,60,18066000,TN
debt_consolidation,1,60,47033325,TN
home_improvement,1,60,4152400,TN
house,0.188775,60,188775,TN
major_purchase,1,60,1099450,TN
medical,0.776425,60,776425,TN
moving,0.275825,60,275825,TN
other,1,60,3248900,TN
renewable_energy,0.042,60,42000,TN
small_business,0.735025,60,735025,TN
vacation,0.521425,60,521425,TN
wedding,0.032,60,32000,TN
car,1,36,5270775,TX
credit_card,1,36,133999875,TX
debt_consolidation,1,36,368376025,TX
educational,0.117,36,117000,TX
home_improvement,1,36,40090475,TX
house,1,36,2134950,TX
major_purchase,1,36,14039825,TX
medical,1,36,7595975,TX
moving,1,36,3080300,TX
other,1,36,29261025,TX
renewable_energy,0.41685,36,416850,TX
small_business,1,36,8465425,TX
vacation,1,36,3544075,TX
wedding,1,36,1344250,TX
car,1,60,4168100,TX
credit_card,1,60,96546500,TX
debt_consolidation,1,60,255797950,TX
educational,0.17965,60,179650,TX
home_improvement,1,60,28427675,TX
house,1,60,1578000,TX
major_purchase,1,60,9521225,TX
medical,1,60,4799750,TX
moving,1,60,2225775,TX
other,1,60,20149575,TX
renewable_energy,0.2691,60,269100,TX
small_business,1,60,5483800,TX
vacation,1,60,2735625,TX
wedding,0.83395,60,833950,TX
car,0.47185,36,471850,UT
credit_card,1,36,12991525,UT
debt_consolidation,1,36,33137150,UT
educational,0.039975,36,39975,UT
home_improvement,1,36,2162400,UT
house,0.118875,36,118875,UT
major_purchase,0.664625,36,664625,UT
medical,0.810975,36,810975,UT
moving,0.2902,36,290200,UT
other,1,36,1808000,UT
renewable_energy,0.106,36,106000,UT
small_business,1,36,1115750,UT
vacation,0.268575,36,268575,UT
wedding,0.081025,36,81025,UT
car,0.3646,60,364600,UT
credit_card,1,60,9487950,UT
debt_consolidation,1,60,24663475,UT
educational,0.06445,60,64450,UT
home_improvement,1,60,1615025,UT
house,0.08895,60,88950,UT
major_purchase,0.26645,60,266450,UT
medical,0.4023,60,402300,UT
moving,0.074975,60,74975,UT
other,1,60,1412225,UT
small_business,0.61575,60,615750,UT
vacation,0.20295,60,202950,UT
wedding,0.0262,60,26200,UT
car,1,36,2162075,VA
credit_card,1,36,49497950,VA
debt_consolidation,1,36,141496025,VA
educational,0.1146,36,114600,VA
home_improvement,1,36,12721750,VA
house,0.6869,36,686900,VA
major_purchase,1,36,4374100,VA
medical,1,36,2303450,VA
moving,1,36,1256725,VA
other,1,36,11762250,VA
renewable_energy,0.1324,36,132400,VA
small_business,1,36,2410675,VA
vacation,1,36,1307975,VA
wedding,0.690125,36,690125,VA
car,1,60,1580300,VA
credit_card,1,60,32686800,VA
debt_consolidation,1,60,95972925,VA
educational,0.053475,60,53475,VA
home_improvement,1,60,9664575,VA
house,0.5681,60,568100,VA
major_purchase,1,60,2888900,VA
medical,1,60,1532625,VA
moving,0.87615,60,876150,VA
other,1,60,8164125,VA
renewable_energy,0.163125,60,163125,VA
small_business,1,60,1889000,VA
vacation,0.58365,60,583650,VA
wedding,0.416375,60,416375,VA
car,0.1295,36,129500,VT
credit_card,1,36,4348175,VT
debt_consolidation,1,36,8894800,VT
home_improvement,0.919275,36,919275,VT
house,0.011,36,11000,VT
major_purchase,0.31015,36,310150,VT
medical,0.0526,36,52600,VT
moving,0.07045,36,70450,VT
other,0.7036,36,703600,VT
small_business,0.0967,36,96700,VT
vacation,0.06265,36,62650,VT
car,0.093525,60,93525,VT
credit_card,1,60,3188350,VT
debt_consolidation,1,60,6103800,VT
home_improvement,0.756725,60,756725,VT
major_purchase,0.20315,60,203150,VT
medical,0.0637,60,63700,VT
moving,0.055,60,55000,VT
other,0.508325,60,508325,VT
small_business,0.1346,60,134600,VT
vacation,0.038675,60,38675,VT
car,1,36,1785250,WA
credit_card,1,36,39440200,WA
debt_consolidation,1,36,104562050,WA
educational,0.1109,36,110900,WA
home_improvement,1,36,8448850,WA
house,0.731725,36,731725,WA
major_purchase,1,36,3042650,WA
medical,1,36,1791350,WA
moving,1,36,1046900,WA
other,1,36,7577450,WA
renewable_energy,0.07675,36,76750,WA
small_business,1,36,2083450,WA
vacation,1,36,1271125,WA
wedding,0.40795,36,407950,WA
car,1,60,1140975,WA
credit_card,1,60,24982250,WA
debt_consolidation,1,60,72823000,WA
educational,0.021,60,21000,WA
home_improvement,1,60,5597125,WA
house,0.475175,60,475175,WA
major_purchase,1,60,2421100,WA
medical,1,60,1325750,WA
moving,0.826375,60,826375,WA
other,1,60,4518525,WA
renewable_energy,0.07165,60,71650,WA
small_business,1,60,1163450,WA
vacation,0.62225,60,622250,WA
wedding,0.29625,60,296250,WA
car,0.9318,36,931800,WI
credit_card,1,36,29178400,WI
debt_consolidation,1,36,56794875,WI
educational,0.0374,36,37400,WI
home_improvement,1,36,5445425,WI
house,0.33175,36,331750,WI
major_purchase,1,36,1341000,WI
medical,0.845825,36,845825,WI
moving,0.502175,36,502175,WI
other,1,36,3871150,WI
renewable_energy,0.025,36,25000,WI
small_business,0.97555,36,975550,WI
vacation,0.39245,36,392450,WI
wedding,0.07005,36,70050,WI
car,0.632,60,632000,WI
credit_card,1,60,19588650,WI
debt_consolidation,1,60,41118000,WI
educational,0.035,60,35000,WI
home_improvement,1,60,3412175,WI
house,0.177875,60,177875,WI
major_purchase,1,60,1138625,WI
medical,0.50615,60,506150,WI
moving,0.140375,60,140375,WI
other,1,60,2222875,WI
renewable_energy,0.027,60,27000,WI
small_business,0.685225,60,685225,WI
vacation,0.236625,60,236625,WI
wedding,0.1044,60,104400,WI
car,0.395275,36,395275,WV
credit_card,1,36,9037025,WV
debt_consolidation,1,36,22437500,WV
home_improvement,1,36,2787825,WV
house,0.231925,36,231925,WV
major_purchase,0.761275,36,761275,WV
medical,0.28155,36,281550,WV
moving,0.13625,36,136250,WV
other,1,36,1498275,WV
renewable_energy,0.008,36,8000,WV
small_business,0.1787,36,178700,WV
vacation,0.1514,36,151400,WV
wedding,0.03,36,30000,WV
car,0.2726,60,272600,WV
credit_card,1,60,6271200,WV
debt_consolidation,1,60,15565700,WV
home_improvement,1,60,1690025,WV
house,0.0914,60,91400,WV
major_purchase,0.566275,60,566275,WV
medical,0.240425,60,240425,WV
moving,0.0295,60,29500,WV
other,1,60,1367550,WV
renewable_energy,0.02225,60,22250,WV
small_business,0.18915,60,189150,WV
vacation,0.135075,60,135075,WV
car,0.18545,36,185450,WY
credit_card,1,36,3874525,WY
debt_consolidation,1,36,11264875,WY
home_improvement,0.778775,36,778775,WY
house,0.032975,36,32975,WY
major_purchase,0.4904,36,490400,WY
medical,0.375875,36,375875,WY
moving,0.057,36,57000,WY
other,0.52485,36,524850,WY
small_business,0.090575,36,90575,WY
vacation,0.0477,36,47700,WY
car,0.21875,60,218750,WY
credit_card,1,60,3021950,WY
debt_consolidation,1,60,6817975,WY
home_improvement,0.596525,60,596525,WY
house,0.047,60,47000,WY
major_purchase,0.286425,60,286425,WY
medical,0.39025,60,390250,WY
moving,0.0605,60,60500,WY
other,0.421575,60,421575,WY
small_business,0.057075,60,57075,WY
vacation,0.05065,60,50650,WY
wedding,0.01,60,10000,WY
debt_consolidation,1,36,4578031050,All
credit_card,1,36,1803227950,All
major_purchase,0.34,36,152595400,All
home_improvement,1,36,451604700,All
other,0.83,36,374831325,All
moving,0.1,36,46598500,All
car,0.17,36,77787175,All
medical,0.16,36,73959050,All
house,0.07,36,32750800,All
vacation,0.09,36,41155100,All
small_business,0.2,36,90096000,All
wedding,0.05,36,20432775,All
renewable_energy,0.01,36,5230125,All
educational,0.01,36,3959425,All
debt_consolidation,0.69,60,312136825,All
credit_card,1,60,1237577900,All
major_purchase,0.51,60,52331675,All
home_improvement,1,60,102403550,All
other,0.29,60,29464550,All
moving,0.32,60,32695475,All
car,1,60,3159316800,All
medical,0.5,60,51253125,All
house,0.62,60,63647700,All
vacation,0.03,60,3562225,All
small_business,0.14,60,14033000,All
wedding,0.02,60,2355275,All
renewable_energy,0.22,60,22450125,All
educational,1,60,257543850,All
